"External ID","Account/Name","Amount","Description","Discount (%)","Invoice Reference/Invoice Reference","Invoice Reference/Invoice Number","Partner/Name","Product/Name","Quantity","Sequence","Source Document","Taxes/Tax Code","Unit Price","Unit of Measure/Unit of Measure","Invoice Reference/Old Name"
"__export__.account_invoice_line_12901","Stationery & Postage","100.0","[1] Corporate Gifts #1","","","17","133  Trading","Corporate Gifts #1","1.0","","","TX","100.0","Unit(s)",""
"__export__.account_invoice_line_12902","Stamp duty","200.0","[1.05.002.112.50] Glide Snorkel Watermelon Pink Sr","","","18","133  Trading","Glide Snorkel Watermelon Pink Sr","1.0","","","TX","200.0","Unit(s)",""
"__export__.account_invoice_line_12903","Sales - Products","408.88","[LTK7C4102P3] LifeTrak C410","30.0","SO091","INV/2014/0146","Com-Star International","LifeTrak C410","5.0","10","SO091","SR C","125.0","Unit(s)",""
"__export__.account_invoice_line_12904","Sales - Products","1619.16","[STRV01-003-0A] Striiv Band - Black","30.0","SO091","INV/2014/0146","Com-Star International","Striiv Band - Black","25.0","10","SO091","SR C","99.0","Unit(s)",""
"__export__.account_invoice_line_12905","Sales - Products","585.51","[LTK7R45005] LifeTrak R450 Midnight Black/Titanium","30.0","SO091","INV/2014/0146","Com-Star International","LifeTrak R450 Midnight Black/Titanium","5.0","10","SO091","SR C","179.0","Unit(s)",""
"__export__.account_invoice_line_12906","Sales - Products","74.77","[F Cap Spore Flag] Cap Singapore Flag","","BN118","INV/2014/0147","VISA","Cap Singapore Flag","5.0","10","SO092","SR C","16.0","Unit(s)",""
"__export__.account_invoice_line_12907","Sales - Products","18.22","[1.25.010.112] Mesh Gear Bag Pink","","BN118","INV/2014/0147","VISA","Mesh Gear Bag Pink","1.0","10","SO092","SR C","19.5","Unit(s)",""
"__export__.account_invoice_line_12908","Sales - Products","64.49","[1.05.002.107.50] Glide Snorkel Mint Green Sr","","BN118","INV/2014/0147","VISA","Glide Snorkel Mint Green Sr","1.0","10","SO092","SR C","69.0","Unit(s)",""
"__export__.account_invoice_line_12909","Sales - Products","36.45","[1.05.145.04] Agility Paddle Small","","BN118","INV/2014/0147","VISA","Agility Paddle Small","1.0","10","SO092","SR C","39.0","Unit(s)",""
"__export__.account_invoice_line_12910","Sales - Products","8.88","[1.05.052.104] Pulling Ankle Strap Yellow","","BN118","INV/2014/0147","VISA","Pulling Ankle Strap Yellow","1.0","10","SO092","SR C","9.5","Unit(s)",""
"__export__.account_invoice_line_12911","Sales - Products","36.45","[1.05.145.04] Agility Paddle Small","","BN118","INV/2014/0147","VISA","Agility Paddle Small","1.0","10","SO092","SR C","39.0","Unit(s)",""
